STT,product_id,name,brand,type,price,warranty_info,feature,voice_control,microphone,battery_life,dimensions,weight,compatibility
1,42499,Tai nghe Bluetooth Apple AirPods 4,Apple Chính hãng,Tai nghe Bluetooth,3490000.0,Bảo hành 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành uỷ quyền CareS.vn,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại, Sạc không dây",Cảm ứng chạm,Có,Tai nghe: Dùng 5 giờ<br>Hộp sạc: Dùng 30 giờ,Tai nghe: 30.2 x 18.3 x 18.1 mm<br>Hộp sạc: 46.2 x 50.1 x 21.2 mm,Tai nghe: 4.3g<br>Hộp sạc: 32.3g,Các thiết bị có hỗ trợ Bluetooth
2,76104,Tai nghe Bluetooth True Wireless Baseus Bowie E11,Baseus,Tai nghe Bluetooth,690000,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm ,Có<br>Hỗ trợ ENC,Tai nghe: 7.5 giờ <br>Hộp sạc: 30 giờ,,Tai nghe: 3.5g ,Các thiết bị hỗ trợ Bluetooth
3,90111,Tai nghe Bluetooth Apple AirPods 4 chống ồn chủ động,Apple Chính hãng,Tai nghe Bluetooth,4790000.0,Bảo hành 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành uỷ quyền CareS.vn,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại, Sạc không dây",Cảm ứng chạm,Có,Tai nghe: Dùng 5 giờ<br>Hộp sạc: Dùng 30 giờ,Tai nghe: 30.2 x 18.3 x 18.1 mm<br>Hộp sạc: 46.2 x 50.1 x 21.2 mm,Tai nghe: 4.3g<br>Hộp sạc: 34.7g,Các thiết bị có hỗ trợ Bluetooth
4,63959,Tai nghe Bluetooth Apple AirPods Pro 2 2023 USB-C | Chính hãng Apple Việt Nam,Apple Chính hãng,Tai nghe Bluetooth,6190000.0,Bảo hành 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành uỷ quyền CareS.vn,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại, Sạc không dây",Cảm ứng chạm,Có,Tai nghe: Dùng 6 giờ<br>Hộp sạc: Dùng 30 giờ,Tai nghe: 30.9 x 21.8 x 24 mm<br>Hộp sạc: 45.2 x 60.6 x 21.7mm,Tai nghe: 5.3g<br>Hộp sạc: 50.8g,Các thiết bị có hỗ trợ Bluetooth
5,73786,Tai nghe Bluetooth True Wireless HUAWEI FreeClip ,Huawei,Tai nghe Bluetooth,4990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,Có mic đàm thoại,Cảm ứng chạm,Có,Tai nghe: 8 giờ <br>Hộp sạc: 36 giờ,,Tai nghe: 5.6 g ± 0.3 g<br>Hộp sạc: 45.5 g ± 2 g,
6,42706,Tai nghe Bluetooth chụp tai Sony WH-1000XM5,Sony,Tai nghe Bluetooth,7990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Xuyên âm, Có mic đàm thoại",Cảm ứng chạm,Có,Tắt chống ồn ANC: Dùng 40 giờ<br>Bật chống ồn ANC: Dùng 30 giờ,,250 g,Các thiết bị có hỗ trợ Bluetooth
7,52579, Tai nghe Bluetooth Apple AirPods 3 2022 sạc có dây | Chính hãng Apple Việt Nam,Apple Chính hãng,Tai nghe Bluetooth,4490000.0,Bảo hành 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành uỷ quyền CareS.vn,Có mic đàm thoại,Cảm biến lực,Có,Tai nghe: Dùng 6 giờ<br> Hộp sạc: Dùng 30 giờ,Tai nghe: 30.79 x 18.26 x 19.21 mm<br>Hộp sạc: 46.40 mm x 54.40 mm x 21.38 mm,Tai nghe: 4.28 gram<br>Hộp sạc: 37.91 gam,Các thiết bị có hỗ trợ Bluetooth
8,50718,Tai nghe Bluetooth True Wireless JBL Live Pro 2,JBL,Tai nghe Bluetooth,3990000.0,Bảo hành 12 tháng chính hãng 1 đổi 1 trong 15 ngày nếu có lỗi phần cứng từ NSX. ,"Chống ồn, Điều khiển giọng nói, Xuyên âm, Có mic đàm thoại",Cảm ứng,Có,Tai nghe: Dùng 10 giờ<br>Hộp sạc: Dùng 30 giờ,,Tai nghe: 4.8g<br> Hộp sạc: 48.4g,"Android, iOS"
9,29832,Tai nghe Bluetooth True Wireless SoundPEATS Mac,Soundpeats,Tai nghe Bluetooth,890000,Bảo hành 1 đổi 1 trong 12 tháng.,"Điều khiển giọng nói, Có mic đàm thoại",Cảm ứng chạm ,Có,Tai nghe: 9 giờ<br>Hộp sạc: 60 giờ ,Tai nghe: 40.1 x 19.3 x 25.5 mm<br>Hộp sạc: 60.5 x 60.0 x 35.8 mm,,Các thiết bị có hỗ trợ Bluetooth
10,19334,Tai nghe Bluetooth Apple AirPods 2 | Chính hãng Apple Việt Nam,Apple Chính hãng,Tai nghe Bluetooth,3990000.0,Bảo hành 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành uỷ quyền CareS.vn,"Điều khiển giọng nói, Có mic đàm thoại",Chạm 2 lần,Có,Tai nghe: Dùng 5 giờ<br>Hộp sạc: Dùng 24 giờ,Tai nghe: 16.5 x 18.0 x 40.5 mm<br>Hộp sạc: 44.3 x 21.3 x 53.5 mm,Tai nghe: 4 gr<br>Hộp sạc: 38.2 gr,Các thiết bị có hỗ trợ Bluetooth
